




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
CHANNAHON PCT 001             1407                          1154                          82.02%
CHANNAHON PCT 002             1790                          1475                          82.40%
CHANNAHON PCT 003             1538                          1172                          76.20%
CHANNAHON PCT 004             1224                          1011                          82.60%
CHANNAHON PCT 005             1591                          1206                          75.80%
CRETE PCT 001                 1253                          798                           63.69%
CRETE PCT 002                 1368                          804                           58.77%
CRETE PCT 003                 1292                          859                           66.49%
CRETE PCT 004                 1283                          971                           75.68%
CRETE PCT 005                 1303                          948                           72.76%
CRETE PCT 006                 1268                          941                           74.21%
CRETE PCT 007                 1206                          935                           77.53%
CRETE PCT 008                 1364                          1001                          73.39%
CRETE PCT 009                 1213                          857                           70.65%
CRETE PCT 010                 1020                          676                           66.27%
CRETE PCT 011                 1068                          802                           75.09%
CRETE PCT 012                 1019                          775                           76.05%
CUSTER PCT 001                930                           774                           83.23%
DUPAGE PCT 001                1620                          1275                          78.70%
DUPAGE PCT 002                1406                          1140                          81.08%
DUPAGE PCT 003                1483                          1193                          80.45%
DUPAGE PCT 004                1280                          942                           73.59%
DUPAGE PCT 005                1089                          845                           77.59%
DUPAGE PCT 006                1148                          896                           78.05%
DUPAGE PCT 007                1339                          1082                          80.81%
DUPAGE PCT 008                1295                          905                           69.88%
DUPAGE PCT 009                1134                          853                           75.22%
DUPAGE PCT 010                1637                          1156                          70.62%
DUPAGE PCT 011                1397                          1036                          74.16%
DUPAGE PCT 012                1248                          925                           74.12%
DUPAGE PCT 013                1629                          1131                          69.43%
DUPAGE PCT 014                1472                          1116                          75.82%
DUPAGE PCT 015                1465                          1123                          76.66%
DUPAGE PCT 016                1365                          1033                          75.68%
DUPAGE PCT 017                1697                          1235                          72.78%
DUPAGE PCT 018                1376                          958                           69.62%
DUPAGE PCT 019                1389                          943                           67.89%
DUPAGE PCT 020                1265                          827                           65.38%
DUPAGE PCT 021                1522                          1061                          69.71%
DUPAGE PCT 022                1582                          1122                          70.92%
DUPAGE PCT 023                1815                          1284                          70.74%
DUPAGE PCT 024                1393                          1066                          76.53%
DUPAGE PCT 025                1214                          855                           70.43%
DUPAGE PCT 026                1233                          823                           66.75%
DUPAGE PCT 027                1588                          1029                          64.80%
DUPAGE PCT 028                1547                          999                           64.58%
DUPAGE PCT 029                1638                          1292                          78.88%
DUPAGE PCT 030                1338                          952                           71.15%
DUPAGE PCT 031                848                           628                           74.06%
DUPAGE PCT 032                1806                          1270                          70.32%
DUPAGE PCT 033                1440                          1017                          70.63%
DUPAGE PCT 034                987                           873                           88.45%
DUPAGE PCT 035                1143                          775                           67.80%
DUPAGE PCT 036                1856                          1307                          70.42%
DUPAGE PCT 037                1393                          908                           65.18%
FLORENCE PCT 001              650                           526                           80.92%
FRANKFORT PCT 001             1890                          1548                          81.90%
FRANKFORT PCT 002             1511                          1232                          81.54%
FRANKFORT PCT 003             1606                          1226                          76.34%
FRANKFORT PCT 004             1373                          1091                          79.46%
FRANKFORT PCT 005             1961                          1555                          79.30%
FRANKFORT PCT 006             1396                          1132                          81.09%
FRANKFORT PCT 007             1327                          1061                          79.95%
FRANKFORT PCT 008             1341                          1032                          76.96%
FRANKFORT PCT 009             1449                          1114                          76.88%
FRANKFORT PCT 010             1463                          1144                          78.20%
FRANKFORT PCT 011             1406                          1088                          77.38%
FRANKFORT PCT 012             1152                          961                           83.42%
FRANKFORT PCT 013             1216                          960                           78.95%
FRANKFORT PCT 014             1414                          1114                          78.78%
FRANKFORT PCT 015             1808                          1404                          77.65%
FRANKFORT PCT 016             1491                          1212                          81.29%
FRANKFORT PCT 017             1860                          1503                          80.81%
FRANKFORT PCT 018             1465                          1166                          79.59%
FRANKFORT PCT 019             1603                          1239                          77.29%
FRANKFORT PCT 020             1424                          1104                          77.53%
FRANKFORT PCT 021             1795                          1488                          82.90%
FRANKFORT PCT 022             1451                          1189                          81.94%
FRANKFORT PCT 023             1275                          1027                          80.55%
FRANKFORT PCT 024             1358                          1054                          77.61%
FRANKFORT PCT 025             1264                          1079                          85.36%
FRANKFORT PCT 026             1508                          1217                          80.70%
FRANKFORT PCT 027             1416                          1177                          83.12%
FRANKFORT PCT 028             2074                          1687                          81.34%
GREEN GARDEN PCT 001          1497                          1210                          80.83%
GREEN GARDEN PCT 002          1547                          1293                          83.58%
HOMER PCT 001                 1466                          1110                          75.72%
HOMER PCT 002                 1585                          1291                          81.45%
HOMER PCT 003                 1239                          1009                          81.44%
HOMER PCT 004                 1432                          1190                          83.10%
HOMER PCT 005                 1130                          870                           76.99%
HOMER PCT 006                 1451                          1096                          75.53%
HOMER PCT 007                 1418                          1141                          80.47%
HOMER PCT 008                 1407                          1078                          76.62%
HOMER PCT 009                 1141                          876                           76.77%
HOMER PCT 010                 1000                          786                           78.60%
HOMER PCT 011                 1432                          1137                          79.40%
HOMER PCT 012                 1514                          1146                          75.69%
HOMER PCT 013                 1557                          1273                          81.76%
HOMER PCT 014                 1507                          1211                          80.36%
HOMER PCT 015                 1848                          1443                          78.08%
HOMER PCT 016                 2145                          1720                          80.19%
HOMER PCT 017                 1558                          1231                          79.01%
HOMER PCT 018                 1974                          1552                          78.62%
HOMER PCT 019                 1671                          1350                          80.79%
JACKSON PCT 001               1578                          1241                          78.64%
JACKSON PCT 002               1353                          1062                          78.49%
JOLIET PCT 001                1361                          860                           63.19%
JOLIET PCT 002                1197                          833                           69.59%
JOLIET PCT 003                1150                          783                           68.09%
JOLIET PCT 004                1182                          702                           59.39%
JOLIET PCT 005                958                           480                           50.10%
JOLIET PCT 006                908                           511                           56.28%
JOLIET PCT 007                1104                          709                           64.22%
JOLIET PCT 008                1033                          727                           70.38%
JOLIET PCT 009                1820                          1100                          60.44%
JOLIET PCT 010                1355                          954                           70.41%
JOLIET PCT 011                1286                          824                           64.07%
JOLIET PCT 012                1180                          630                           53.39%
JOLIET PCT 013                1117                          586                           52.46%
JOLIET PCT 014                1088                          637                           58.55%
JOLIET PCT 015                1139                          627                           55.05%
JOLIET PCT 016                1160                          687                           59.22%
JOLIET PCT 017                1251                          911                           72.82%
JOLIET PCT 018                1334                          1094                          82.01%
JOLIET PCT 019                1140                          794                           69.65%
JOLIET PCT 020                1091                          845                           77.45%
JOLIET PCT 021                630                           402                           63.81%
JOLIET PCT 022                1007                          550                           54.62%
JOLIET PCT 023                1021                          474                           46.43%
JOLIET PCT 024                1080                          612                           56.67%
JOLIET PCT 025                811                           561                           69.17%
JOLIET PCT 026                1125                          718                           63.82%
JOLIET PCT 027                849                           464                           54.65%
JOLIET PCT 028                946                           467                           49.37%
JOLIET PCT 029                1143                          635                           55.56%
JOLIET PCT 030                1179                          744                           63.10%
JOLIET PCT 031                1154                          739                           64.04%
JOLIET PCT 032                849                           490                           57.71%
JOLIET PCT 033                1043                          686                           65.77%
JOLIET PCT 034                947                           546                           57.66%
JOLIET PCT 035                1115                          716                           64.22%
JOLIET PCT 036                921                           570                           61.89%
JOLIET PCT 037                1179                          776                           65.82%
LOCKPORT PCT 001              1811                          1561                          86.20%
LOCKPORT PCT 002              1723                          1238                          71.85%
LOCKPORT PCT 003              1608                          1041                          64.74%
LOCKPORT PCT 004              1354                          906                           66.91%
LOCKPORT PCT 005              1389                          1101                          79.27%
LOCKPORT PCT 006              1886                          1311                          69.51%
LOCKPORT PCT 007              1841                          1369                          74.36%
LOCKPORT PCT 008              1571                          1004                          63.91%
LOCKPORT PCT 009              2080                          1570                          75.48%
LOCKPORT PCT 010              1437                          1115                          77.59%
LOCKPORT PCT 011              1429                          1049                          73.41%
LOCKPORT PCT 012              1506                          1138                          75.56%
LOCKPORT PCT 013              1958                          1652                          84.37%
LOCKPORT PCT 014              1308                          968                           74.01%
LOCKPORT PCT 015              1283                          910                           70.93%
LOCKPORT PCT 016              1481                          1103                          74.48%
LOCKPORT PCT 017              1423                          1109                          77.93%
LOCKPORT PCT 018              1581                          1126                          71.22%
LOCKPORT PCT 019              1446                          1200                          82.99%
LOCKPORT PCT 020              1165                          808                           69.36%
LOCKPORT PCT 021              1359                          852                           62.69%
LOCKPORT PCT 022              1070                          734                           68.60%
LOCKPORT PCT 023              1006                          654                           65.01%
LOCKPORT PCT 024              812                           472                           58.13%
MANHATTAN PCT 001             1626                          1285                          79.03%
MANHATTAN PCT 002             1951                          1545                          79.19%
MANHATTAN PCT 003             1337                          1087                          81.30%
MANHATTAN PCT 004             1571                          1290                          82.11%
MANHATTAN PCT 005             1824                          1525                          83.61%
MONEE PCT 001                 1078                          736                           68.27%
MONEE PCT 002                 1257                          764                           60.78%
MONEE PCT 003                 1396                          1058                          75.79%
MONEE PCT 004                 1529                          1141                          74.62%
MONEE PCT 005                 1028                          594                           57.78%
MONEE PCT 006                 807                           482                           59.73%
MONEE PCT 007                 1146                          781                           68.15%
MONEE PCT 008                 1313                          1009                          76.85%
NEW LENOX PCT 001             1354                          1024                          75.63%
NEW LENOX PCT 002             1814                          1528                          84.23%
NEW LENOX PCT 003             1194                          985                           82.50%
NEW LENOX PCT 004             971                           810                           83.42%
NEW LENOX PCT 005             1279                          1043                          81.55%
NEW LENOX PCT 006             1447                          1188                          82.10%
NEW LENOX PCT 007             1650                          1348                          81.70%
NEW LENOX PCT 008             1321                          1072                          81.15%
NEW LENOX PCT 009             915                           774                           84.59%
NEW LENOX PCT 010             1601                          1326                          82.82%
NEW LENOX PCT 011             1792                          1454                          81.14%
NEW LENOX PCT 012             1372                          1092                          79.59%
NEW LENOX PCT 013             1733                          1411                          81.42%
NEW LENOX PCT 014             2052                          1761                          85.82%
NEW LENOX PCT 015             1507                          1267                          84.07%
NEW LENOX PCT 016             1304                          1075                          82.44%
NEW LENOX PCT 017             1347                          1131                          83.96%
NEW LENOX PCT 018             1727                          1316                          76.20%
NEW LENOX PCT 019             2035                          1649                          81.03%
NEW LENOX PCT 020             2168                          1806                          83.30%
PEOTONE PCT 001               1454                          1191                          81.91%
PEOTONE PCT 002               1483                          1173                          79.10%
PLAINFIELD PCT 001            1585                          1204                          75.96%
PLAINFIELD PCT 002            1601                          1203                          75.14%
PLAINFIELD PCT 003            1490                          1173                          78.72%
PLAINFIELD PCT 004            1419                          1009                          71.11%
PLAINFIELD PCT 005            1441                          1065                          73.91%
PLAINFIELD PCT 006            927                           678                           73.14%
